ticker,branch,status,rows,actual_start,actual_end,error
VIX Index,branch1_fear,OK,9142,1990-01-02,2026-03-13,
VIX9D Index,branch1_fear,OK,3821,2011-01-03,2026-03-13,
VIX3M Index,branch1_fear,OK,6083,2002-01-02,2026-03-13,
VIX6M Index,branch1_fear,OK,4578,2008-01-02,2026-03-13,
V2X Index,branch1_fear,OK,6923,1999-01-04,2026-03-13,
V1X Index,branch1_fear,OK,8667,1992-01-02,2026-03-13,
VNKY Index,branch1_fear,OK,6171,2001-01-04,2026-03-13,
VHSI Index,branch1_fear,OK,6208,2001-01-02,2026-03-13,
MOVE Index,branch1_fear,OK,9357,1990-01-02,2026-03-13,
SKEW Index,branch1_fear,OK,9102,1990-01-02,2026-03-13,
CPCE Index,branch1_fear,OK,7341,1997-01-08,2026-03-13,
LF98OAS Index,branch2_credit,OK,6497,1994-01-31,2026-03-13,
LUACOAS Index,branch2_credit,OK,6558,1989-06-30,2026-03-13,
LP01OAS Index,branch2_credit,OK,6499,1998-11-30,2026-03-13,
LECPOAS Index,branch2_credit,OK,6506,1998-06-22,2026-03-13,
GB3 Govt,branch2_credit,OK,9427,1990-01-02,2026-03-13,
USSO3Z Curncy,branch2_credit,OK,6046,2001-12-20,2026-03-13,
JPEIGLBL Index,branch2_credit,OK,8045,1993-12-31,2026-03-13,
GBTPGR10 Credit,branch2_credit,OK,8508,1993-05-07,2026-03-13,
NZ50 Index,branch3_equity,OK,6326,2001-01-03,2026-03-13,
AS51 Index,branch3_equity,OK,8555,1992-05-29,2026-03-13,
NKY Index,branch3_equity,OK,8885,1989-12-29,2026-03-13,
TPX Index,branch3_equity,OK,8885,1989-12-29,2026-03-13,
TWSE Index,branch3_equity,OK,9296,1990-01-03,2026-03-13,
KOSPI Index,branch3_equity,OK,9345,1989-12-26,2026-03-13,
HSI Index,branch3_equity,OK,8934,1990-01-02,2026-03-13,
SHSZ300 Index,branch3_equity,OK,5866,2002-01-04,2026-03-13,
SHCOMP Index,branch3_equity,OK,8597,1990-12-19,2026-03-13,
STI Index,branch3_equity,OK,6673,1999-08-31,2026-03-13,
NIFTY Index,branch3_equity,OK,8677,1990-07-03,2026-03-13,
SENSEX Index,branch3_equity,OK,8762,1990-01-02,2026-03-13,
DAX Index,branch3_equity,OK,9163,1990-01-02,2026-03-13,
CAC Index,branch3_equity,OK,9200,1990-01-02,2026-03-13,
UKX Index,branch3_equity,OK,9148,1990-01-02,2026-03-13,
SMI Index,branch3_equity,OK,9098,1990-01-03,2026-03-13,
SX5E Index,branch3_equity,OK,9316,1990-01-02,2026-03-13,
SXXP Index,branch3_equity,OK,9298,1990-01-02,2026-03-13,
IBOV Index,branch3_equity,OK,8961,1990-01-02,2026-03-13,
SPTSX Index,branch3_equity,OK,9099,1990-01-02,2026-03-13,
SPX Index,branch3_equity,OK,9116,1990-01-02,2026-03-13,
INDU Index,branch3_equity,OK,9116,1990-01-02,2026-03-13,
CCMP Index,branch3_equity,OK,9116,1990-01-02,2026-03-13,
NDX Index,branch3_equity,OK,9116,1990-01-02,2026-03-13,
RTY Index,branch3_equity,OK,9202,1990-01-02,2026-03-13,
SOX Index,branch3_equity,OK,8019,1994-05-04,2026-03-13,
XLF US Equity,branch3_equity,OK,6847,1998-12-22,2026-03-13,
XLE US Equity,branch3_equity,OK,6847,1998-12-22,2026-03-13,
XLK US Equity,branch3_equity,OK,6847,1998-12-22,2026-03-13,
XLU US Equity,branch3_equity,OK,6847,1998-12-22,2026-03-13,
XLV US Equity,branch3_equity,OK,6847,1998-12-22,2026-03-13,
XLI US Equity,branch3_equity,OK,6846,1998-12-22,2026-03-13,
XLB US Equity,branch3_equity,OK,6847,1998-12-22,2026-03-13,
XLY US Equity,branch3_equity,OK,6847,1998-12-22,2026-03-13,
XLP US Equity,branch3_equity,OK,6847,1998-12-22,2026-03-13,
GDBR10 Equity,branch3_equity,OK,9364,1990-01-02,2026-03-13,
USGG2YR Index,branch4_rates,OK,9427,1990-01-02,2026-03-13,
USGG5YR Index,branch4_rates,OK,9428,1990-01-02,2026-03-13,
USGG10YR Index,branch4_rates,OK,9429,1990-01-02,2026-03-13,
USGG30YR Index,branch4_rates,OK,9429,1990-01-02,2026-03-13,
GDBR2 Index,branch4_rates,OK,9184,1990-09-18,2026-03-13,
GDBR5 Index,branch4_rates,OK,9180,1990-08-07,2026-03-13,
GDBR10 Index,branch4_rates,OK,9364,1990-01-02,2026-03-13,
GDBR30 Index,branch4_rates,OK,8357,1994-01-03,2026-03-13,
GUKG2 Index,branch4_rates,OK,8864,1992-01-02,2026-03-13,
GUKG5 Index,branch4_rates,OK,8865,1992-01-01,2026-03-13,
GUKG10 Index,branch4_rates,OK,8868,1992-01-01,2026-03-13,
GUKG30 Index,branch4_rates,OK,7805,1996-02-28,2026-03-13,
GJGB2 Index,branch4_rates,OK,9127,1990-09-03,2026-03-13,
GJGB5 Index,branch4_rates,OK,9324,1989-12-29,2026-03-13,
GJGB10 Index,branch4_rates,OK,9278,1989-12-29,2026-03-13,
GJGB30 Index,branch4_rates,OK,6887,1999-09-02,2026-03-13,
GBTPGR10 Index,branch4_rates,OK,8508,1993-05-07,2026-03-13,
GFRN10 Index,branch4_rates,OK,9351,1990-01-02,2026-03-13,
GSWISS10 Index,branch4_rates,OK,8231,1994-02-16,2026-03-13,
GACGB10 Index,branch4_rates,OK,9422,1990-01-02,2026-03-13,
GCAN10YR Index,branch4_rates,OK,9379,1990-01-02,2026-03-13,
GIND10YR Index,branch4_rates,OK,6854,1998-11-25,2026-03-13,
GCNY10YR Index,branch4_rates,OK,4660,2005-06-06,2026-03-13,
USGGBE10 Index,branch4_rates,OK,7176,1998-08-03,2026-03-13,
USGGBE05 Index,branch4_rates,OK,6295,2002-01-11,2026-03-13,
GC1 Comdty,branch5_comfx,OK,9099,1990-01-02,2026-03-13,
SI1 Comdty,branch5_comfx,OK,9100,1990-01-02,2026-03-13,
HG1 Comdty,branch5_comfx,OK,9100,1990-01-02,2026-03-13,
CL1 Comdty,branch5_comfx,OK,9099,1990-01-02,2026-03-13,
CO1 Comdty,branch5_comfx,OK,9258,1990-01-02,2026-03-13,
NG1 Comdty,branch5_comfx,OK,9030,1990-04-03,2026-03-13,
W1 Index,branch5_comfx,OK,9124,1990-01-02,2026-03-13,
C1 Index,branch5_comfx,OK,9162,1989-11-01,2026-03-13,
S1 Index,branch5_comfx,OK,9123,1990-01-02,2026-03-13,
BCOM Index,branch5_comfx,OK,9086,1990-01-02,2026-03-13,
BDIY Index,branch5_comfx,OK,9068,1990-01-02,2026-03-13,
DXY Curncy,branch5_comfx,OK,9370,1990-01-02,2026-03-13,
EURUSD Curncy,branch5_comfx,OK,9373,1990-01-02,2026-03-13,
USDJPY Curncy,branch5_comfx,OK,9444,1990-01-02,2026-03-13,
GBPUSD Curncy,branch5_comfx,OK,9444,1990-01-02,2026-03-13,
USDCHF Curncy,branch5_comfx,OK,9444,1990-01-02,2026-03-13,
AUDUSD Curncy,branch5_comfx,OK,9444,1990-01-02,2026-03-13,
USDCAD Curncy,branch5_comfx,OK,9444,1990-01-02,2026-03-13,
NZDUSD Curncy,branch5_comfx,OK,9444,1990-01-02,2026-03-13,
USDCNY Curncy,branch5_comfx,OK,9166,1990-01-02,2026-03-13,
USDINR Curncy,branch5_comfx,OK,9093,1990-01-02,2026-03-13,
USDBRL Curncy,branch5_comfx,OK,8729,1992-01-15,2026-03-13,
USDTRY Curncy,branch5_comfx,OK,9423,1990-01-02,2026-03-13,
USDZAR Curncy,branch5_comfx,OK,9441,1990-01-02,2026-03-13,
USDMXN Curncy,branch5_comfx,OK,9441,1990-01-02,2026-03-13,
AUDJPY Curncy,branch5_comfx,OK,9442,1990-01-02,2026-03-13,
CESIUSD Index,branch6_macro,OK,5971,2003-01-01,2026-03-13,
CESIEUR Index,branch6_macro,OK,5971,2003-01-01,2026-03-13,
CESICNY Index,branch6_macro,OK,5734,2004-01-01,2026-03-13,
CESIEM Index,branch6_macro,OK,5957,2003-01-01,2026-03-13,
CESIG10 Index,branch6_macro,OK,5974,2003-01-01,2026-03-13,
NAPMPMI Index,branch6_macro,OK,433,1990-01-31,2026-02-28,
NAPMNMI Index,branch6_macro,OK,343,1997-07-31,2026-02-28,
MPMIEZMA Index,branch6_macro,FAILED,0,,,Too few rows after parsing: 36
CPMINDX Index,branch6_macro,OK,253,2005-01-31,2026-02-28,
MPMIJPMA Index,branch6_macro,FAILED,0,,,Too few rows after parsing: 35
MPMIGBMA Index,branch6_macro,FAILED,0,,,Too few rows after parsing: 36
MPMIINMA Index,branch6_macro,FAILED,0,,,Too few rows after parsing: 35
CONSSENT Index,branch6_macro,OK,433,1990-01-31,2026-02-28,
CONCCONF Index,branch6_macro,OK,433,1990-01-31,2026-02-28,
LEI TOTL Index,branch6_macro,OK,432,1990-01-31,2025-12-31,
