,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SPX,0.25891551224060677,-0.05039822291772564,0.1371771528677189,-0.30691899137181894,-0.08065235771014476,-0.1441743514475138,-0.08947534511950792,0.13167710135328636,0.022447238549977884,-0.05339458880031444
NDX,0.21298834254336713,-0.024964969323209702,0.15104428989151572,-0.31382897629471423,-0.09712314164752128,-0.16793621848982693,-0.13103436056799395,0.22292891953719604,0.015646699227085174,-0.07671839020939825
RTY,0.24894605835225606,-0.05430160374208321,0.11001379142696893,-0.2929086030723338,-0.07723783090324869,-0.13714934822738273,-0.09265041019503101,0.13414376679556866,0.014835508315436402,-0.0447842636867164
DAX,0.262387241501682,-0.04354971899587072,0.18646132527949677,0.024163685077821184,-0.06769674987269228,0.3114787741083696,0.10859105188736716,0.05445400868863237,-0.09880120282518778,0.10397347539080387
FTSE,0.2608173363846079,-0.0705614023496412,0.15624133682721328,0.060207156599205135,-0.01040495814851191,0.3066406274679673,0.10952288968628221,0.011030093891475119,-0.09751380501805004,0.11416595544639462
CAC,0.2659759438537805,-0.057342034822170276,0.1808555323821774,0.04258021872904142,-0.049507369760739516,0.3348191447892604,0.12993583653559684,0.013714987628257229,-0.07938867555473222,0.10080003295635037
Nikkei,0.1356343261421345,-0.0758955254408007,0.08922489427546279,0.3678795844027067,0.03503834209949873,-0.2355345278137573,0.050929964574054166,0.17055336673468402,0.030929467103373316,-0.038415145680472405
HangSeng,0.15190474910183563,-0.10142562423480926,0.07497783097673015,0.3239802687532814,0.032277093598727845,-0.16771530462403708,0.07387030938316795,0.18255770584620767,-0.15418338055860456,0.10489776158571074
ASX,0.14776034657656528,-0.10102112502800872,0.09963298630888263,0.35747947801069035,0.011050203825478683,-0.1922577078879849,-0.0824363294235304,0.09827405832338562,-0.071292017418243,0.05942523093164683
KOSPI,0.12399790212586802,-0.08449561578602234,0.07535618462053667,0.32187513601621814,0.019088433263344317,-0.22633415479212862,0.045561056587377566,0.21224487191132127,-0.09165763571409936,0.057249222958014344
VIX,-0.21732741073836964,0.041222159528557296,-0.14136848012207484,0.28020609198667007,0.05980240264099,0.08369662939892138,0.05615136173669071,-0.08590035325198006,-0.13527751649464903,0.07479996378983829
VSTOXX,-0.22538385945181091,0.050382048825314364,-0.15545208024155707,-0.023397802594863345,0.0649054926423911,-0.31753723820305213,-0.09484294948860993,0.05918477177149971,-0.03302048267359054,-0.03683805192180546
MOVE,-0.082567936581714,0.11804917697994016,-0.15510140448472065,0.031144141528922392,0.008979427943367391,-0.03499135947512257,0.13170415529792726,0.19384553415154002,-0.2284144435032114,0.10994481731601563
US_HY,-0.24505404929549837,-0.06574238604424594,0.01530665294792622,-0.11717858260330694,0.051035576407622275,0.03541204990754216,0.29546099790546143,0.28697435555780954,0.012321381295788797,0.03204908582295562
US_IG,-0.18283111147364023,0.005693526002441813,-0.02102937393394513,-0.1486937371889144,0.1072493525531233,0.09125459041555947,0.34005290355493506,0.3915305579762969,-0.04556735583484359,0.049009490158741675
EU_HY,-0.16027912769386696,-0.00573218061255995,0.009713278031407549,-0.22496462612673965,0.12077523427863329,0.017910336600098057,0.18679422229333972,0.3744620739124814,-0.15995577107149003,0.13295917512663816
US_2Y,0.15270271785074216,0.32216161697745577,-0.1516017861386685,-0.024168992645749527,-0.016658135716691353,-0.06483543486515327,-0.1296779194969331,0.04890908121749377,-0.1351881254741441,0.08600601306347538
US_10Y,0.18132800976923977,0.34413510621724774,-0.24290657693453463,-0.019780074626692578,-0.03745376093097915,-0.05000212648112156,-0.06394011418398964,0.11088322289805949,-0.1374639397414136,0.0950169622262507
US_30Y,0.17595800569792241,0.30564522769381025,-0.25956573709528163,-0.01800087748982252,-0.042659040970935924,-0.040239519604813735,-0.0517034427347416,0.11044914855771851,-0.12336574681198972,0.08879980990890837
DE_10Y,0.15481780407780887,0.24310075302357884,-0.22980459306955564,0.08930108361845875,-0.16405925633665924,0.16618402063651516,0.24542548801418593,0.01774906111900336,0.1824076432978351,-0.12000849683254873
JP_10Y,0.047188960420758035,0.024605801261219435,0.0006128492491264396,0.1518256055291546,-0.04275564380469724,-0.0882675257778941,0.09651523915247885,0.3324723226538704,0.5233972338700961,-0.4376128577073715
UK_10Y,0.13796567341335297,0.25058070874722105,-0.21743156114878262,0.09198155248035757,-0.15729744929219505,0.1405482384449383,0.2507832297183911,0.023603765099192237,0.18918664347062003,-0.13486899231332528
US_Breakeven,0.17827707187399003,0.12759596146501212,-0.1937776243608848,-0.028704742323266176,0.06133126380639312,-0.06305164426832177,-0.21407837002270097,0.08367338804929572,-0.084426260665838,0.11345728979357746
Gold,0.017926140490287616,-0.2617950243607545,-0.23177495150340918,-0.014648225959784947,0.18112749015964885,0.0426794253890988,-0.08225379200441585,0.13333909004539055,-0.14362012362174859,0.03371455466834692
Copper,0.15076094285951988,-0.15482331535120536,-0.16730488335172017,0.006457661843028722,0.22675217760341992,0.15917333643379658,0.044201965488176356,0.06018241173896814,-0.01656505404858528,-0.024951997678979095
WTI,0.005046512117961996,-0.0023757125033733884,-0.022489340226720785,-0.011705467950800102,0.04856642900969009,-0.06407924840282113,-0.03536805702433258,0.03469851261292745,0.613432967399742,0.775023723094625
Brent,0.12625363166192807,-0.09149374436639186,-0.18929792199424283,-0.010624747167470616,0.45768666621622833,0.13978307258158526,-0.18500586300077765,0.00897411868931868,0.1625526467583754,-0.14950325788372118
BCOM,0.15403838192994385,-0.18068778202109068,-0.2575839855312935,-0.013808221259066932,0.4396372132713869,0.16396015206113582,-0.12806576574678333,0.0551102568818634,0.07949324267727442,-0.08154639984271109
DXY,-0.035943145048182856,0.34098075489705554,0.3327200588131682,0.011732335468417064,0.33671041136051233,0.0017862424373897533,-0.024232345564155204,0.03583309593467954,0.008590655828974158,-0.034414934660054214
EURUSD,0.036840355232865704,-0.30875763120753286,-0.3290588962368755,-0.04462564032605077,-0.32380169521573526,-0.06710729908733488,0.12371047978385147,-0.10083100888019447,0.004807700717549231,0.026659317833403785
USDJPY,0.1110390097756591,0.23709087217407646,0.15498621951769054,-0.05933634803384829,0.34252212645759295,-0.20599201513734464,0.3309330788297361,-0.29091526478883817,0.012309154948487016,-0.015458586887818218
AUDUSD,0.171280418419178,-0.2646999878925862,-0.1980330958446589,-0.11322321900694858,-0.03484854184550515,-0.21650903096495885,0.24953855026718683,-0.11283726892824546,-0.04595492410334945,0.027766738284344696
AUDJPY,0.20995865188552187,-0.04418055671608337,-0.05092866202653627,-0.12861759882529025,0.21163633999603265,-0.3151681477509151,0.4372678092953234,-0.3006784796808089,-0.032183991364835976,0.014503818000277145
